,smart_1_raw,smart_2_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_8_raw,smart_9_raw,smart_10_raw,smart_11_raw,smart_12_raw,smart_13_raw,smart_15_raw,smart_16_raw,smart_17_raw,smart_18_raw,smart_22_raw,smart_23_raw,smart_24_raw,smart_168_raw,smart_170_raw,smart_173_raw,smart_174_raw,smart_175_raw,smart_177_raw,smart_179_raw,smart_180_raw,smart_181_raw,smart_182_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_196_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_200_raw,smart_201_raw,smart_202_raw,smart_206_raw,smart_210_raw,smart_218_raw,smart_220_raw,smart_222_raw,smart_223_raw,smart_224_raw,smart_225_raw,smart_226_raw,smart_231_raw,smart_232_raw,smart_233_raw,smart_234_raw,smart_235_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_245_raw,smart_247_raw,smart_248_raw,smart_250_raw,smart_251_raw,smart_252_raw,smart_254_raw,smart_255_raw,smart_27_raw,smart_71_raw,smart_82_raw,smart_90_raw,smart_160_raw,smart_161_raw,smart_163_raw,smart_164_raw,smart_165_raw,smart_166_raw,smart_167_raw,smart_169_raw,smart_171_raw,smart_172_raw,smart_176_raw,smart_178_raw,smart_230_raw,smart_244_raw,smart_246_raw,smart_211_raw,smart_212_raw,failure
1573,73161392.0,,0.0,12.0,0.0,350837368.0,,34530.0,0.0,,12.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,27.0,,2.0,1940.0,27.0,73161392.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,34277.0,109720339576.0,530978999276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1574,200353136.0,,0.0,16.0,0.0,278413642.0,,35105.0,0.0,,16.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,37.0,,2.0,2974.0,37.0,200353136.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,34644.0,114871888920.0,790603521872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1575,44881480.0,,0.0,17.0,0.0,46371850.0,,43047.0,0.0,,17.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,31.0,,4.0,2318.0,31.0,44881480.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,42745.0,125591105176.0,607609347336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1576,223307552.0,,0.0,13.0,0.0,526123588.0,,43062.0,0.0,,12.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,26.0,,2.0,2166.0,26.0,223307552.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,42799.0,126307685384.0,655166974542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1577,132285656.0,,0.0,7.0,0.0,523052616.0,,37269.0,0.0,,7.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,32.0,,1.0,1847.0,32.0,132285656.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,37039.0,132706051576.0,435057125403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1578,198605248.0,,0.0,10.0,0.0,517412040.0,,46578.0,0.0,,10.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,25.0,,485.0,2122.0,25.0,198605248.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,46331.0,129772431176.0,513737693630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1579,174021424.0,,0.0,13.0,0.0,645623527.0,,39119.0,0.0,,13.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,35.0,,4.0,1882.0,35.0,174021424.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,38880.0,124554552504.0,441052770484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1580,163378232.0,,0.0,25.0,0.0,333593119.0,,35787.0,0.0,,25.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,21.0,,5.0,11124.0,21.0,163378232.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,33828.0,110376784200.0,557024178032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1581,191310864.0,,0.0,54.0,0.0,657450201.0,,37920.0,0.0,,53.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,43.0,,89.0,1744.0,43.0,191310864.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,37701.0,111452807128.0,482733542368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1582,203973648.0,,0.0,3.0,0.0,195406793.0,,1842.0,0.0,,3.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,38.0,,0.0,101.0,38.0,203973648.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1834.0,25983195520.0,15236473522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
